lead_id,nombre,correo,telefono,pais,fuente,campaña,estado,intereses,presupuesto_estimado,fecha_creacion,nota_fecha,nota_comentario,nota_vendedor
LD-58,Camila Rojas,camila.rojas@correo.com,3009315602,Perú,Instagram,Campaña 3,En negociación,"Publicidad, Marketing",4512,2025-11-21T22:46:04.997455,2025-11-21T22:46:04.997456,Nota inicial del lead 58,Vendedor 3
LD-59,Diana Gómez,diana.gómez@correo.com,3008261007,Argentina,WhatsApp,Campaña 3,Perdido,"Marketing, Software",2905,2025-11-21T22:46:04.997461,2025-11-21T22:46:04.997462,Nota inicial del lead 59,Vendedor 4
LD-60,Natalia Torres,natalia.torres@correo.com,3003800615,Colombia,Google Ads,Campaña 3,Nuevo,"Software, Cursos",3445,2025-11-21T22:46:04.997467,2025-11-21T22:46:04.997468,Nota inicial del lead 60,Vendedor 1
LD-61,Luis Morales,luis.morales@correo.com,3004831176,México,Facebook Ads,Campaña 4,Contactado,"Cursos, Consultoría",4133,2025-11-21T22:46:04.997472,2025-11-21T22:46:04.997474,Nota inicial del lead 61,Vendedor 2
LD-62,Jorge Reyes,jorge.reyes@correo.com,3001920277,Chile,Landing Page,Campaña 4,Calificado,"Consultoría, Publicidad",1637,2025-11-21T22:46:04.997478,2025-11-21T22:46:04.997479,Nota inicial del lead 62,Vendedor 3
LD-63,Jorge Rojas,jorge.rojas@correo.com,3005268862,Perú,Instagram,Campaña 4,En negociación,"Publicidad, Marketing",3889,2025-11-21T22:46:04.997484,2025-11-21T22:46:04.997485,Nota inicial del lead 63,Vendedor 4
LD-64,Natalia Castillo,natalia.castillo@correo.com,3007939174,Argentina,WhatsApp,Campaña 4,Perdido,"Marketing, Software",614,2025-11-21T22:46:04.997490,2025-11-21T22:46:04.997491,Nota inicial del lead 64,Vendedor 1
LD-65,Laura Silva,laura.silva@correo.com,3005148057,Colombia,Google Ads,Campaña 4,Nuevo,"Software, Cursos",2703,2025-11-21T22:46:04.997495,2025-11-21T22:46:04.997497,Nota inicial del lead 65,Vendedor 2
LD-66,Laura Jiménez,laura.jiménez@correo.com,3006529252,México,Facebook Ads,Campaña 4,Contactado,"Cursos, Consultoría",2294,2025-11-21T22:46:04.997502,2025-11-21T22:46:04.997503,Nota inicial del lead 66,Vendedor 3
LD-67,Laura Vargas,laura.vargas@correo.com,3001080803,Chile,Landing Page,Campaña 4,Calificado,"Consultoría, Publicidad",943,2025-11-21T22:46:04.997508,2025-11-21T22:46:04.997509,Nota inicial del lead 67,Vendedor 4
LD-68,Daniela Jiménez,daniela.jiménez@correo.com,3008810806,Perú,Instagram,Campaña 4,En negociación,"Publicidad, Marketing",4916,2025-11-21T22:46:04.997513,2025-11-21T22:46:04.997515,Nota inicial del lead 68,Vendedor 1
LD-69,María Flores,maría.flores@correo.com,3009632340,Argentina,WhatsApp,Campaña 4,Perdido,"Marketing, Software",2387,2025-11-21T22:46:04.997519,2025-11-21T22:46:04.997520,Nota inicial del lead 69,Vendedor 2
LD-70,David Torres,david.torres@correo.com,3008011900,Colombia,Google Ads,Campaña 4,Nuevo,"Software, Cursos",1620,2025-11-21T22:46:04.997674,2025-11-21T22:46:04.997676,Nota inicial del lead 70,Vendedor 3
LD-71,Laura Díaz,laura.díaz@correo.com,3009112832,México,Facebook Ads,Campaña 4,Contactado,"Cursos, Consultoría",2243,2025-11-21T22:46:04.997681,2025-11-21T22:46:04.997682,Nota inicial del lead 71,Vendedor 4
LD-72,Camila Cortés,camila.cortés@correo.com,3002414052,Chile,Landing Page,Campaña 4,Calificado,"Consultoría, Publicidad",1751,2025-11-21T22:46:04.997687,2025-11-21T22:46:04.997689,Nota inicial del lead 72,Vendedor 1
LD-73,Luis Díaz,luis.díaz@correo.com,3004700312,Perú,Instagram,Campaña 4,En negociación,"Publicidad, Marketing",1694,2025-11-21T22:46:04.997693,2025-11-21T22:46:04.997694,Nota inicial del lead 73,Vendedor 2
LD-74,Juan Castillo,juan.castillo@correo.com,3008005924,Argentina,WhatsApp,Campaña 4,Perdido,"Marketing, Software",5262,2025-11-21T22:46:04.997698,2025-11-21T22:46:04.997700,Nota inicial del lead 74,Vendedor 3
LD-75,Juan Díaz,juan.díaz@correo.com,3003889276,Colombia,Google Ads,Campaña 4,Nuevo,"Software, Cursos",2170,2025-11-21T22:46:04.997704,2025-11-21T22:46:04.997705,Nota inicial del lead 75,Vendedor 4
LD-76,Andrés Rojas,andrés.rojas@correo.com,3009599025,México,Facebook Ads,Campaña 4,Contactado,"Cursos, Consultoría",1145,2025-11-21T22:46:04.997710,2025-11-21T22:46:04.997711,Nota inicial del lead 76,Vendedor 1
LD-77,Miguel Romero,miguel.romero@correo.com,3003827831,Chile,Landing Page,Campaña 4,Calificado,"Consultoría, Publicidad",4229,2025-11-21T22:46:04.997716,2025-11-21T22:46:04.997717,Nota inicial del lead 77,Vendedor 2
LD-78,Sara Gómez,sara.gómez@correo.com,3005717752,Perú,Instagram,Campaña 4,En negociación,"Publicidad, Marketing",1685,2025-11-21T22:46:04.997722,2025-11-21T22:46:04.997724,Nota inicial del lead 78,Vendedor 3
LD-79,Carlos Torres,carlos.torres@correo.com,3001859396,Argentina,WhatsApp,Campaña 4,Perdido,"Marketing, Software",2101,2025-11-21T22:46:04.997728,2025-11-21T22:46:04.997729,Nota inicial del lead 79,Vendedor 4
LD-80,Sara Romero,sara.romero@correo.com,3006512730,Colombia,Google Ads,Campaña 4,Nuevo,"Software, Cursos",1196,2025-11-21T22:46:04.997733,2025-11-21T22:46:04.997735,Nota inicial del lead 80,Vendedor 1
LD-81,Héctor Torres,héctor.torres@correo.com,3008598558,México,Facebook Ads,Campaña 5,Contactado,"Cursos, Consultoría",3169,2025-11-21T22:46:04.997739,2025-11-21T22:46:04.997740,Nota inicial del lead 81,Vendedor 2
LD-82,Paula Martínez,paula.martínez@correo.com,3007022918,Chile,Landing Page,Campaña 5,Calificado,"Consultoría, Publicidad",3677,2025-11-21T22:46:04.997745,2025-11-21T22:46:04.997746,Nota inicial del lead 82,Vendedor 3
LD-83,Valeria García,valeria.garcía@correo.com,3001976667,Perú,Instagram,Campaña 5,En negociación,"Publicidad, Marketing",3755,2025-11-21T22:46:04.997750,2025-11-21T22:46:04.997752,Nota inicial del lead 83,Vendedor 4
LD-84,Carlos Silva,carlos.silva@correo.com,3004607663,Argentina,WhatsApp,Campaña 5,Perdido,"Marketing, Software",1530,2025-11-21T22:46:04.997757,2025-11-21T22:46:04.997758,Nota inicial del lead 84,Vendedor 1
LD-85,Laura Flores,laura.flores@correo.com,3001736631,Colombia,Google Ads,Campaña 5,Nuevo,"Software, Cursos",2616,2025-11-21T22:46:04.997762,2025-11-21T22:46:04.997764,Nota inicial del lead 85,Vendedor 2
LD-86,Mario Gómez,mario.gómez@correo.com,3006349622,México,Facebook Ads,Campaña 5,Contactado,"Cursos, Consultoría",2570,2025-11-21T22:46:04.997768,2025-11-21T22:46:04.997769,Nota inicial del lead 86,Vendedor 3
LD-87,Valeria Castillo,valeria.castillo@correo.com,3003054616,Chile,Landing Page,Campaña 5,Calificado,"Consultoría, Publicidad",1817,2025-11-21T22:46:04.997774,2025-11-21T22:46:04.997775,Nota inicial del lead 87,Vendedor 4
LD-88,Luis Martínez,luis.martínez@correo.com,3005420723,Perú,Instagram,Campaña 5,En negociación,"Publicidad, Marketing",1474,2025-11-21T22:46:04.997781,2025-11-21T22:46:04.997782,Nota inicial del lead 88,Vendedor 1
LD-89,Jorge Torres,jorge.torres@correo.com,3002756497,Argentina,WhatsApp,Campaña 5,Perdido,"Marketing, Software",2298,2025-11-21T22:46:04.997787,2025-11-21T22:46:04.997788,Nota inicial del lead 89,Vendedor 2
LD-90,Miguel Gómez,miguel.gómez@correo.com,3009242295,Colombia,Google Ads,Campaña 5,Nuevo,"Software, Cursos",2523,2025-11-21T22:46:04.997792,2025-11-21T22:46:04.997794,Nota inicial del lead 90,Vendedor 3
LD-91,Paula Jiménez,paula.jiménez@correo.com,3008943840,México,Facebook Ads,Campaña 5,Contactado,"Cursos, Consultoría",616,2025-11-21T22:46:04.997799,2025-11-21T22:46:04.997800,Nota inicial del lead 91,Vendedor 4
LD-92,Diana Romero,diana.romero@correo.com,3008136207,Chile,Landing Page,Campaña 5,Calificado,"Consultoría, Publicidad",4888,2025-11-21T22:46:04.997804,2025-11-21T22:46:04.997806,Nota inicial del lead 92,Vendedor 1
LD-93,Daniela Mendoza,daniela.mendoza@correo.com,3006935317,Perú,Instagram,Campaña 5,En negociación,"Publicidad, Marketing",1658,2025-11-21T22:46:04.997810,2025-11-21T22:46:04.997812,Nota inicial del lead 93,Vendedor 2
LD-94,Daniela Torres,daniela.torres@correo.com,3009963380,Argentina,WhatsApp,Campaña 5,Perdido,"Marketing, Software",4677,2025-11-21T22:46:04.997816,2025-11-21T22:46:04.997817,Nota inicial del lead 94,Vendedor 3
LD-95,Luis Gómez,luis.gómez@correo.com,3007348940,Colombia,Google Ads,Campaña 5,Nuevo,"Software, Cursos",1730,2025-11-21T22:46:04.997822,2025-11-21T22:46:04.997823,Nota inicial del lead 95,Vendedor 4
LD-96,Diana Mendoza,diana.mendoza@correo.com,3008705303,México,Facebook Ads,Campaña 5,Contactado,"Cursos, Consultoría",3959,2025-11-21T22:46:04.997828,2025-11-21T22:46:04.997829,Nota inicial del lead 96,Vendedor 1
LD-97,Juan Cortés,juan.cortés@correo.com,3007937695,Chile,Landing Page,Campaña 5,Calificado,"Consultoría, Publicidad",3437,2025-11-21T22:46:04.997833,2025-11-21T22:46:04.997835,Nota inicial del lead 97,Vendedor 2
LD-98,Felipe Cortés,felipe.cortés@correo.com,3009773528,Perú,Instagram,Campaña 5,En negociación,"Publicidad, Marketing",3186,2025-11-21T22:46:04.997840,2025-11-21T22:46:04.997841,Nota inicial del lead 98,Vendedor 3
LD-99,Jorge Castillo,jorge.castillo@correo.com,3001699472,Argentina,WhatsApp,Campaña 5,Perdido,"Marketing, Software",4525,2025-11-21T22:46:04.997845,2025-11-21T22:46:04.997847,Nota inicial del lead 99,Vendedor 4
LD-100,Mario Rojas,mario.rojas@correo.com,3002368808,Colombia,Google Ads,Campaña 5,Nuevo,"Software, Cursos",2311,2025-11-21T22:46:04.997851,2025-11-21T22:46:04.997852,Nota inicial del lead 100,Vendedor 1
